Serial Number,Make,Model,Type,Year,Drivetrain,Power(hp),Cylinders,Displacement(Litres),Seating,Torque(lbs-ft),Mileage-city(miles/gallon),Fuel Tank Capacity(gal),Wheelbase(inches),Ground Clearance(inch),Curb weight(lbs),Length(inch),Height(inch),Width(inch),Turning Radius(ft),Gearbox
180,Spyker,C8,Coupe,2009,RWD,400,8,4.2,2,354,13,15,107,-1,3142,182,50,77,19.5,6 Speed Manual
181,Suzuki,Aerio,Sedan,2007,FWD,155,4,2.3,5,152,25,13.2,97.6,5.9,2661,171.3,60.8,67.7,16.4,5 Speed Manual
182,Suzuki,Kizashi,Sedan,2012,FWD,185,4,2.4,5,170,21,16.6,106.3,5.7,3241,183.1,71.7,58.3,18,6 Speed Automatic
183,Suxuki,SX4,Hatchback,2012,FWD,150,4,2,5,140,23,13.2,98.4,6.9,2748,162.8,62.2,69.1,17.4,6 Speed Manual
184,Suzuki,SX4,Sedan,2012,FWD,150,4,2,5,140,23,13.2,98.4,6.5,2748,176.8,60.8,68.1,17.4,6 Speed Manual
185,Tesla,Model S,Sedan,2012,RWD,362,-1,-1,5,325,88,-1,116.5,6.3,4647,195.9,56.5,77.3,18.5,1 Speed Automatic
186,Toyota,Sequoia,SUV,2012,RWD,310,8,4.6,8,327,14,-1,122,9.9,5680,205.1,77,79.9,19.6,6 Speed Automatic
187,Toyota,Camry,Sedan,2012,FWD,178,4,2.5,5,170,25,17,109.3,6.1,3190,189.2,57.9,71.7,18.3,6 Speed Automatic
188,Toyota,Corolla,Sedan,2012,FWD,132,4,1.8,5,128,27,13.2,102.4,5.8,2767,179.3,57.7,69.4,17.7,5 Speed Automatic
189,Toyota,4Runner,SUV,2012,RWD,270,6,4,5,278,17,23,109.8,9,4400,189.9,71.5,75.8,18.7,5 Speed Automatic
190,Volkswagen,Golf,Hatchback,2012,FWD,296,4,2.5,4,177,24,14.5,101.5,5.4,3102,165.4,58.3,70.3,17.9,5 Speed Automatic
191,Volkswagen,Golf,Hatchback,1991,FWD,100,4,1.8,4,107,22,14.5,97.3,4.6,2375,159.1,55.7,65.5,17.2,5 Speed Manual
192,Volkswagen,Beetle,Hatchback,2012,FWD,170,4,2.5,2,177,22,14.5,99.9,5.2,2939,168.4,58.5,71.2,17.7,6 Speed Manual
193,Volvo,C30,Hatchback,2012,FWD,227,5,2.5,4,236,24,15.9,103.9,-1,3211,167.4,57,70.2,17.4,6 Speed Manual
194,Volvo,240,Sedan,1993,RWD,114,4,2.3,5,136,18,15.8,104.3,4.7,3084,190.7,57.5,67.7,16.1,5 Speed Manual
195,Volvo,XC90,SUV,2007,FWD,235,6,3.2,5,236,15,21.1,112.6,8.9,4400,189.3,70.2,74.7,20,6 Speed Automatic
196,smart,fortwo,Convertible (Electric),2012,RWD,70,3,1,2,68,34,8.7,73.5,5.2,1808,106.1,60.7,61.4,14.4,5 Speed Automatic
